nohup: ignoring input
Starting Power Logger...
2026-02-07 11:01:16.728081: 5223
2026-02-07 11:01:17.729738: 5223
2026-02-07 11:01:18.731339: 5323
2026-02-07 11:01:19.732565: 5122
2026-02-07 11:01:20.734220: 5223
2026-02-07 11:01:21.735931: 5223
2026-02-07 11:01:22.737530: 5223
2026-02-07 11:01:23.739159: 5323
2026-02-07 11:01:24.740839: 5323
2026-02-07 11:01:25.742483: 5323
2026-02-07 11:01:26.744137: 5323
2026-02-07 11:01:27.745793: 5323
2026-02-07 11:01:28.747016: 5323
2026-02-07 11:01:29.748237: 5323
2026-02-07 11:01:30.749910: 5323
2026-02-07 11:01:31.751540: 5323
2026-02-07 11:01:32.752762: 5323
2026-02-07 11:01:33.754026: 5323
2026-02-07 11:01:34.755626: 5223
2026-02-07 11:01:35.757268: 5323
2026-02-07 11:01:36.758478: 5323
2026-02-07 11:01:37.759754: 5323
2026-02-07 11:01:38.761405: 5323
2026-02-07 11:01:39.763052: 5323
2026-02-07 11:01:40.764309: 5223
2026-02-07 11:01:41.765552: 5323
2026-02-07 11:01:42.766761: 5323
2026-02-07 11:01:43.768003: 5323
2026-02-07 11:01:44.769200: 5323
2026-02-07 11:01:45.770826: 5323
2026-02-07 11:01:46.772074: 5323
2026-02-07 11:01:47.773310: 5323
2026-02-07 11:01:48.774516: 5323
2026-02-07 11:01:49.776122: 5323
2026-02-07 11:01:50.777770: 5122
2026-02-07 11:01:51.779022: 5323
2026-02-07 11:01:52.780285: 5323
2026-02-07 11:01:53.781553: 5323
2026-02-07 11:01:54.782812: 5323
2026-02-07 11:01:55.784069: 5323
2026-02-07 11:01:56.785303: 5323
2026-02-07 11:01:57.786485: 5323
2026-02-07 11:01:58.788101: 5323
2026-02-07 11:01:59.789738: 5323
2026-02-07 11:02:00.791002: 6674
2026-02-07 11:02:01.792205: 5707
2026-02-07 11:02:02.793468: 5323
2026-02-07 11:02:03.794708: 5323
2026-02-07 11:02:04.795965: 5323
2026-02-07 11:02:05.797234: 5323
2026-02-07 11:02:06.798874: 5323
2026-02-07 11:02:07.800063: 5323
2026-02-07 11:02:08.801320: 5323
2026-02-07 11:02:09.802520: 5223
2026-02-07 11:02:10.803779: 5323
2026-02-07 11:02:11.805371: 5323
2026-02-07 11:02:12.807035: 5323
2026-02-07 11:02:13.808263: 5323
2026-02-07 11:02:14.809467: 5223
2026-02-07 11:02:15.811114: 5323
2026-02-07 11:02:16.812352: 5808
2026-02-07 11:02:17.813602: 5323
2026-02-07 11:02:18.815246: 5323
2026-02-07 11:02:19.816449: 5223
2026-02-07 11:02:20.818106: 5223
2026-02-07 11:02:21.819745: 5323
2026-02-07 11:02:22.821364: 5323
2026-02-07 11:02:23.822618: 5323
2026-02-07 11:02:24.824273: 5323
2026-02-07 11:02:25.825914: 5323
2026-02-07 11:02:26.827112: 5223
2026-02-07 11:02:27.828733: 5323
2026-02-07 11:02:28.830383: 5323
2026-02-07 11:02:29.831575: 5223
2026-02-07 11:02:30.833217: 5323
2026-02-07 11:02:31.834447: 5323
2026-02-07 11:02:32.836127: 5323
2026-02-07 11:02:33.837787: 5223
2026-02-07 11:02:34.839019: 5323
2026-02-07 11:02:35.840619: 5122
2026-02-07 11:02:36.842251: 5323
2026-02-07 11:02:37.843476: 5323
2026-02-07 11:02:38.845088: 5323
2026-02-07 11:02:39.846300: 5122
2026-02-07 11:02:40.847959: 5222
2026-02-07 11:02:41.849578: 5323
2026-02-07 11:02:42.851207: 5323
2026-02-07 11:02:43.852329: 5323
2026-02-07 11:02:44.853634: 7305
2026-02-07 11:02:45.854927: 9058
2026-02-07 11:02:46.856055: 8574
2026-02-07 11:02:47.857230: 8777
2026-02-07 11:02:48.858454: 6594
2026-02-07 11:02:49.860143: 5626
2026-02-07 11:02:50.861734: 5626
2026-02-07 11:02:51.862969: 5424
2026-02-07 11:02:52.864588: 5626
2026-02-07 11:02:53.865824: 6111
2026-02-07 11:02:54.867468: 5424
2026-02-07 11:02:55.869120: 5323
2026-02-07 11:02:56.870364: 5323
2026-02-07 11:02:57.872074: 5323
2026-02-07 11:02:58.873317: 5323
2026-02-07 11:02:59.874961: 5323
2026-02-07 11:03:00.876587: 6674
2026-02-07 11:03:01.878216: 5707
2026-02-07 11:03:02.879438: 5323
2026-02-07 11:03:03.880707: 5323
2026-02-07 11:03:04.882345: 5323
2026-02-07 11:03:05.884048: 5323
2026-02-07 11:03:06.885691: 5323
2026-02-07 11:03:07.886894: 5223
2026-02-07 11:03:08.888127: 5323
2026-02-07 11:03:09.889377: 5323
2026-02-07 11:03:10.891026: 5323
2026-02-07 11:03:11.892282: 5323
2026-02-07 11:03:12.893930: 5222
2026-02-07 11:03:13.895180: 5223
2026-02-07 11:03:14.896854: 5323
2026-02-07 11:03:15.898516: 5323
2026-02-07 11:03:16.899742: 5323
2026-02-07 11:03:17.901383: 5323
