nohup: ignoring input
Starting Power Logger...
2026-02-07 11:01:27.459503: 4954
2026-02-07 11:01:28.460624: 3363
2026-02-07 11:01:29.461233: 4990
2026-02-07 11:01:30.462351: 4954
2026-02-07 11:01:31.463574: 4981
2026-02-07 11:01:32.464696: 4954
2026-02-07 11:01:33.465250: 4981
2026-02-07 11:01:34.466421: 4981
2026-02-07 11:01:35.467541: 4954
2026-02-07 11:01:36.468723: 4981
2026-02-07 11:01:37.469239: 4918
2026-02-07 11:01:38.470363: 4945
2026-02-07 11:01:39.471483: 4981
2026-02-07 11:01:40.472604: 5017
2026-02-07 11:01:41.473258: 4954
2026-02-07 11:01:42.474411: 4764
2026-02-07 11:01:43.475629: 4828
2026-02-07 11:01:44.476793: 4882
2026-02-07 11:01:45.477252: 4819
2026-02-07 11:01:46.478443: 4819
2026-02-07 11:01:47.479625: 4891
2026-02-07 11:01:48.480770: 4828
2026-02-07 11:01:49.481261: 4792
2026-02-07 11:01:50.482404: 4828
2026-02-07 11:01:51.483547: 4728
2026-02-07 11:01:52.484736: 4764
2026-02-07 11:01:53.485265: 4756
2026-02-07 11:01:54.486409: 4764
2026-02-07 11:01:55.487546: 4828
2026-02-07 11:01:56.488685: 4369
2026-02-07 11:01:57.489255: 4728
2026-02-07 11:01:58.490416: 4700
2026-02-07 11:01:59.491611: 4792
2026-02-07 11:02:00.492816: 4783
2026-02-07 11:02:01.493259: 4891
2026-02-07 11:02:02.494449: 4792
2026-02-07 11:02:03.495631: 4764
2026-02-07 11:02:04.496826: 4828
2026-02-07 11:02:05.497297: 4792
2026-02-07 11:02:06.498435: 4792
2026-02-07 11:02:07.499574: 4792
2026-02-07 11:02:08.500775: 4756
2026-02-07 11:02:09.501256: 4728
2026-02-07 11:02:10.502462: 4855
2026-02-07 11:02:11.503691: 4828
2026-02-07 11:02:12.504885: 4792
2026-02-07 11:02:13.505314: 4828
2026-02-07 11:02:14.506457: 4855
2026-02-07 11:02:15.507684: 4728
2026-02-07 11:02:16.508822: 4891
2026-02-07 11:02:17.509256: 4720
2026-02-07 11:02:18.510393: 4728
2026-02-07 11:02:19.511545: 4828
2026-02-07 11:02:20.512689: 4819
2026-02-07 11:02:21.513254: 4764
2026-02-07 11:02:22.514387: 4636
2026-02-07 11:02:23.515627: 4855
2026-02-07 11:02:24.516813: 4855
2026-02-07 11:02:25.517297: 4990
2026-02-07 11:02:26.518414: 4963
2026-02-07 11:02:27.519593: 4945
2026-02-07 11:02:28.520735: 4981
2026-02-07 11:02:29.521241: 4990
2026-02-07 11:02:30.522371: 4981
2026-02-07 11:02:31.523491: 4954
2026-02-07 11:02:32.524614: 5017
2026-02-07 11:02:33.525237: 4990
2026-02-07 11:02:34.526418: 4945
2026-02-07 11:02:35.527536: 4981
2026-02-07 11:02:36.528711: 4981
2026-02-07 11:02:37.529234: 4891
2026-02-07 11:02:38.530396: 4981
2026-02-07 11:02:39.531519: 4990
2026-02-07 11:02:40.532670: 4981
2026-02-07 11:02:41.533280: 4954
2026-02-07 11:02:42.534426: 4981
2026-02-07 11:02:43.535543: 4981
2026-02-07 11:02:44.536665: 4954
2026-02-07 11:02:45.537272: 4981
2026-02-07 11:02:46.538419: 4954
2026-02-07 11:02:47.539599: 4945
2026-02-07 11:02:48.540719: 5053
2026-02-07 11:02:49.541240: 4990
2026-02-07 11:02:50.542406: 4990
2026-02-07 11:02:51.543526: 4990
2026-02-07 11:02:52.544661: 4990
2026-02-07 11:02:53.545236: 4945
2026-02-07 11:02:54.546355: 4945
2026-02-07 11:02:55.547478: 4990
2026-02-07 11:02:56.548609: 4990
2026-02-07 11:02:57.549267: 4918
2026-02-07 11:02:58.550388: 4981
2026-02-07 11:02:59.551513: 4981
2026-02-07 11:03:00.552638: 4945
2026-02-07 11:03:01.553238: 4981
2026-02-07 11:03:02.554360: 4990
2026-02-07 11:03:03.555482: 4981
2026-02-07 11:03:04.556607: 4954
2026-02-07 11:03:05.557236: 4981
2026-02-07 11:03:06.558391: 4981
2026-02-07 11:03:07.559553: 4945
2026-02-07 11:03:08.560701: 4945
2026-02-07 11:03:09.561263: 4855
2026-02-07 11:03:10.562469: 4855
2026-02-07 11:03:11.563692: 4828
2026-02-07 11:03:12.564836: 4800
2026-02-07 11:03:13.565288: 4864
2026-02-07 11:03:14.566429: 4864
2026-02-07 11:03:15.567593: 4819
2026-02-07 11:03:16.568747: 4828
2026-02-07 11:03:17.569264: 4828
2026-02-07 11:03:18.570407: 4882
2026-02-07 11:03:19.571551: 4855
2026-02-07 11:03:20.572720: 4855
2026-02-07 11:03:21.573260: 4800
2026-02-07 11:03:22.574409: 4855
2026-02-07 11:03:23.575552: 4882
2026-02-07 11:03:24.576703: 4736
2026-02-07 11:03:25.577344: 4855
2026-02-07 11:03:26.578559: 4900
2026-02-07 11:03:27.579703: 4819
2026-02-07 11:03:28.580923: 4864
2026-02-07 11:03:29.581261: 4819
2026-02-07 11:03:30.582391: 4855
2026-02-07 11:03:31.583561: 4864
2026-02-07 11:03:32.584705: 4792
2026-02-07 11:03:33.585256: 4918
2026-02-07 11:03:34.586429: 4828
2026-02-07 11:03:35.587577: 4855
2026-02-07 11:03:36.588725: 4800
2026-02-07 11:03:37.589256: 4891
2026-02-07 11:03:38.590399: 4900
2026-02-07 11:03:39.591609: 4855
2026-02-07 11:03:40.592821: 4855
2026-02-07 11:03:41.593300: 4864
2026-02-07 11:03:42.594508: 4855
2026-02-07 11:03:43.595723: 4783
2026-02-07 11:03:44.596868: 4792
2026-02-07 11:03:45.597257: 4828
2026-02-07 11:03:46.598413: 4828
2026-02-07 11:03:47.599554: 4819
2026-02-07 11:03:48.600727: 4855
2026-02-07 11:03:49.601261: 4792
2026-02-07 11:03:50.602400: 4828
2026-02-07 11:03:51.603598: 4891
2026-02-07 11:03:52.604748: 4882
2026-02-07 11:03:53.605242: 4927
2026-02-07 11:03:54.606365: 4945
2026-02-07 11:03:55.607486: 4981
2026-02-07 11:03:56.608610: 4954
2026-02-07 11:03:57.609289: 4990
2026-02-07 11:03:58.610411: 4918
2026-02-07 11:03:59.611532: 4990
2026-02-07 11:04:00.612655: 4945
2026-02-07 11:04:01.613237: 4954
2026-02-07 11:04:02.614359: 4981
2026-02-07 11:04:03.615535: 4945
2026-02-07 11:04:04.616660: 4990
2026-02-07 11:04:05.617260: 4981
2026-02-07 11:04:06.618385: 4981
2026-02-07 11:04:07.619507: 4981
2026-02-07 11:04:08.620630: 4981
2026-02-07 11:04:09.621279: 4918
2026-02-07 11:04:10.622398: 4990
2026-02-07 11:04:11.623564: 4981
2026-02-07 11:04:12.624690: 4981
2026-02-07 11:04:13.625240: 4981
2026-02-07 11:04:14.626360: 5017
